model,optimizer,target,best_params,rmse,mae,r2,data_source
LinearRegression,RandomizedSearchCV,"IC50, mM",{},1.7994895608145876,1.381572208790811,0.15873950874270903,PCA Aggregated
Ridge,RandomizedSearchCV,"IC50, mM",{'alpha': np.float64(19.498197043239887)},1.648838666693016,1.2980328668818113,0.2937017062450096,PCA Aggregated
Lasso,RandomizedSearchCV,"IC50, mM",{'alpha': np.float64(0.021584494295802448)},1.6196664182138505,1.2946247005971787,0.3184731260358027,PCA Aggregated
RandomForestRegressor,RandomizedSearchCV,"IC50, mM","{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 87}",1.4710920622122885,1.1748218032536843,0.43777321187921225,PCA Aggregated
XGBRegressor,RandomizedSearchCV,"IC50, mM","{'learning_rate': np.float64(0.02797980510005242), 'max_depth': 6, 'n_estimators': 108, 'subsample': np.float64(0.7969608796062265)}",1.489272026412781,1.1894349236324377,0.42379118988014175,PCA Aggregated
CatBoostRegressor,RandomizedSearchCV,"IC50, mM","{'depth': 7, 'iterations': 192, 'l2_leaf_reg': np.float64(6.288857969801341), 'learning_rate': np.float64(0.04431972482374337)}",1.4331019474043378,1.1614340475344878,0.46643663544939373,PCA Aggregated
MLPRegressor,RandomizedSearchCV,"IC50, mM","{'alpha': np.float64(0.0031592644736118973), 'hidden_layer_sizes': (100,), 'learning_rate_init': np.float64(0.0003333283160680771)}",1.5364144206764117,1.180313951961257,0.3867344349170898,PCA Aggregated
LinearRegression,GridSearchCV,"IC50, mM",{},1.7994895608145876,1.381572208790811,0.15873950874270903,PCA Aggregated
Ridge,GridSearchCV,"IC50, mM",{'alpha': 10.0},1.6753984878465875,1.3164935254407737,0.27076405339164444,PCA Aggregated
Lasso,GridSearchCV,"IC50, mM",{'alpha': 0.01},1.6299694860714975,1.2822113214882052,0.30977485182012177,PCA Aggregated
RandomForestRegressor,GridSearchCV,"IC50, mM","{'max_depth': 10, 'n_estimators': 100}",1.4744502443645873,1.1699078878064775,0.43520339993010737,PCA Aggregated
XGBRegressor,GridSearchCV,"IC50, mM","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",1.5129001653675533,1.2148156974868531,0.4053623946563011,PCA Aggregated
CatBoostRegressor,GridSearchCV,"IC50, mM","{'depth': 5, 'iterations': 150, 'learning_rate': 0.1}",1.4967097384048162,1.1885837773472376,0.41802142204012105,PCA Aggregated
MLPRegressor,GridSearchCV,"IC50, mM","{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",1.6605582913781725,1.2697654140751444,0.2836255615042226,PCA Aggregated
LinearRegression,Optuna,"IC50, mM",{},1.7994895608145876,1.381572208790811,0.15873950874270903,PCA Aggregated
Ridge,Optuna,"IC50, mM",{'alpha': 19.937205695492327},1.6479693708990872,1.2973698229813606,0.2944462548749105,PCA Aggregated
Lasso,Optuna,"IC50, mM",{'alpha': 0.016215180352464772},1.6280550429225311,1.291805966029378,0.31139527577205217,PCA Aggregated
RandomForestRegressor,Optuna,"IC50, mM","{'n_estimators': 152, 'max_depth': 10, 'min_samples_split': 8}",1.4739280121017426,1.1713767610797146,0.4356034171879277,PCA Aggregated
XGBRegressor,Optuna,"IC50, mM","{'n_estimators': 184, 'learning_rate': 0.02173193534446381, 'max_depth': 5, 'subsample': 0.783801367096233}",1.4650426666217606,1.1739497064353261,0.44238766029591514,PCA Aggregated
CatBoostRegressor,Optuna,"IC50, mM","{'iterations': 151, 'learning_rate': 0.04505222445615501, 'depth': 8, 'l2_leaf_reg': 1.875691977725676}",1.4400073734019354,1.1541075103859761,0.46128227890711815,PCA Aggregated
MLPRegressor,Optuna,"IC50, mM","{'hidden_layer_sizes': (50, 50), 'alpha': 1.1093373486981732e-05, 'learning_rate_init': 0.005227807467126531}",1.7499039123768112,1.312932371220348,0.20446327263212027,PCA Aggregated
LinearRegression,RandomizedSearchCV,"IC50, mM",{},1.7832317435147327,1.3782790008897856,0.1738718837436375,Manual Aggregated
Ridge,RandomizedSearchCV,"IC50, mM",{'alpha': np.float64(19.498197043239887)},1.641597317880506,1.2896405155306785,0.29989190714308145,Manual Aggregated
Lasso,RandomizedSearchCV,"IC50, mM",{'alpha': np.float64(0.021584494295802448)},1.6215485617488765,1.2965361304638114,0.31688826054944685,Manual Aggregated
RandomForestRegressor,RandomizedSearchCV,"IC50, mM","{'max_depth': None, 'min_samples_split': 7, 'n_estimators': 102}",1.4526638389908582,1.1522006536998455,0.45177090299424083,Manual Aggregated
XGBRegressor,RandomizedSearchCV,"IC50, mM","{'learning_rate': np.float64(0.05513174647251545), 'max_depth': 3, 'n_estimators': 130, 'subsample': np.float64(0.7800343042825855)}",1.451556543941689,1.1815920505522743,0.4526063612547965,Manual Aggregated
CatBoostRegressor,RandomizedSearchCV,"IC50, mM","{'depth': 6, 'iterations': 108, 'l2_leaf_reg': np.float64(3.262420524145287), 'learning_rate': np.float64(0.0878185932615049)}",1.449740650421765,1.174670936954657,0.45397508066777204,Manual Aggregated
MLPRegressor,RandomizedSearchCV,"IC50, mM","{'alpha': np.float64(0.004141986740582306), 'hidden_layer_sizes': (50,), 'learning_rate_init': np.float64(0.00017983126110107097)}",1.5618381606602987,1.2156827927507414,0.36627054982116936,Manual Aggregated
LinearRegression,GridSearchCV,"IC50, mM",{},1.7832317435147327,1.3782790008897856,0.1738718837436375,Manual Aggregated
Ridge,GridSearchCV,"IC50, mM",{'alpha': 10.0},1.663463362144476,1.3054217620321344,0.2811168403583658,Manual Aggregated
Lasso,GridSearchCV,"IC50, mM",{'alpha': 0.01},1.6301251093445535,1.2841939190496614,0.30964304539624077,Manual Aggregated
RandomForestRegressor,GridSearchCV,"IC50, mM","{'max_depth': 10, 'n_estimators': 150}",1.4622560563463562,1.1583545397210775,0.4445068757271152,Manual Aggregated
XGBRegressor,GridSearchCV,"IC50, mM","{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 150}",1.4985367110367833,1.2237028619303962,0.4165997597826142,Manual Aggregated
CatBoostRegressor,GridSearchCV,"IC50, mM","{'depth': 5, 'iterations': 150, 'learning_rate': 0.1}",1.468222987359819,1.1931002610273747,0.4399640982179399,Manual Aggregated
MLPRegressor,GridSearchCV,"IC50, mM","{'alpha': 0.001, 'hidden_layer_sizes': (50,)}",1.5072593876300242,1.1765772893260547,0.4097882855630277,Manual Aggregated
LinearRegression,Optuna,"IC50, mM",{},1.7832317435147327,1.3782790008897856,0.1738718837436375,Manual Aggregated
Ridge,Optuna,"IC50, mM",{'alpha': 19.937205695492327},1.6408697822903147,1.2891304253900477,0.3005123280945482,Manual Aggregated
Lasso,Optuna,"IC50, mM",{'alpha': 0.026879652168697282},1.6176283886882044,1.300780534791966,0.3201871802422519,Manual Aggregated
RandomForestRegressor,Optuna,"IC50, mM","{'n_estimators': 192, 'max_depth': 10, 'min_samples_split': 7}",1.4706978722775956,1.1688682916917867,0.43807447711430514,Manual Aggregated
XGBRegressor,Optuna,"IC50, mM","{'n_estimators': 175, 'learning_rate': 0.02640734341064126, 'max_depth': 4, 'subsample': 0.857836649221471}",1.4630436030253051,1.1863962327966424,0.4439083559642615,Manual Aggregated
CatBoostRegressor,Optuna,"IC50, mM","{'iterations': 102, 'learning_rate': 0.05983861432070429, 'depth': 7, 'l2_leaf_reg': 1.0672299298843655}",1.4188257207809436,1.1518421261025622,0.4770141533780238,Manual Aggregated
MLPRegressor,Optuna,"IC50, mM","{'hidden_layer_sizes': (100,), 'alpha': 0.00040445740594049524, 'learning_rate_init': 0.009841513366747656}",1.636112329325381,1.2713223064009,0.3045625647901703,Manual Aggregated
LinearRegression,RandomizedSearchCV,"CC50, mM",{},1.3277853912509139,1.0052021708797552,0.22481312015831634,PCA Aggregated
Ridge,RandomizedSearchCV,"CC50, mM",{'alpha': np.float64(19.498197043239887)},1.2451451509765228,0.9694639777991256,0.31830422130896374,PCA Aggregated
Lasso,RandomizedSearchCV,"CC50, mM",{'alpha': np.float64(0.021584494295802448)},1.1617923575550049,0.9295429804458611,0.4065178353762646,PCA Aggregated
RandomForestRegressor,RandomizedSearchCV,"CC50, mM","{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 70}",1.1260103924192217,0.7998438110513502,0.4425121084667545,PCA Aggregated
XGBRegressor,RandomizedSearchCV,"CC50, mM","{'learning_rate': np.float64(0.1182998158400237), 'max_depth': 4, 'n_estimators': 70, 'subsample': np.float64(0.8852444528883149)}",1.1535865726592498,0.8208001447718847,0.4148718041323419,PCA Aggregated
CatBoostRegressor,RandomizedSearchCV,"CC50, mM","{'depth': 7, 'iterations': 191, 'l2_leaf_reg': np.float64(4.456569174550735), 'learning_rate': np.float64(0.0884099244072991)}",1.120222194929834,0.7919016418774847,0.4482288519515386,PCA Aggregated
MLPRegressor,RandomizedSearchCV,"CC50, mM","{'alpha': np.float64(0.0011153061236738471), 'hidden_layer_sizes': (50,), 'learning_rate_init': np.float64(0.00048489954914396495)}",1.297267725736795,0.9124345831747752,0.26003723154014846,PCA Aggregated
