model,optimizer,target,best_params,accuracy,precision,recall,f1_score,roc_auc,data_source
LogisticRegression,RandomizedSearchCV,is_IC50_above_median,"{'C': np.float64(0.10778765841014329), 'penalty': 'l2', 'solver': 'liblinear'}",0.6915422885572139,0.6696428571428571,0.75,0.7075471698113207,0.7526237623762376,PCA Aggregated
RandomForestClassifier,RandomizedSearchCV,is_IC50_above_median,"{'max_depth': None, 'min_samples_split': 6, 'n_estimators': 149}",0.7114427860696517,0.6810344827586207,0.79,0.7314814814814815,0.782920792079208,PCA Aggregated
XGBClassifier,RandomizedSearchCV,is_IC50_above_median,"{'learning_rate': np.float64(0.06923222772633546), 'max_depth': 5, 'n_estimators': 130, 'subsample': np.float64(0.9134025858245949), 'use_label_encoder': False}",0.6915422885572139,0.6666666666666666,0.76,0.7102803738317757,0.7816336633663367,PCA Aggregated
CatBoostClassifier,RandomizedSearchCV,is_IC50_above_median,"{'depth': 7, 'iterations': 152, 'l2_leaf_reg': np.float64(4.120829269975138), 'learning_rate': np.float64(0.02499623737270043)}",0.7213930348258707,0.6929824561403509,0.79,0.7383177570093458,0.7942079207920792,PCA Aggregated
MLPClassifier,RandomizedSearchCV,is_IC50_above_median,"{'alpha': np.float64(0.004141986740582306), 'hidden_layer_sizes': (50,), 'learning_rate_init': np.float64(0.00017983126110107097)}",0.6915422885572139,0.6727272727272727,0.74,0.7047619047619048,0.7602475247524753,PCA Aggregated
LogisticRegression,GridSearchCV,is_IC50_above_median,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.6716417910447762,0.6491228070175439,0.74,0.6915887850467289,0.7543069306930692,PCA Aggregated
RandomForestClassifier,GridSearchCV,is_IC50_above_median,"{'max_depth': 10, 'n_estimators': 150}",0.7164179104477612,0.680672268907563,0.81,0.7397260273972602,0.7827227722772276,PCA Aggregated
XGBClassifier,GridSearchCV,is_IC50_above_median,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 150, 'use_label_encoder': False}",0.7313432835820896,0.7053571428571429,0.79,0.7452830188679245,0.7873762376237623,PCA Aggregated
CatBoostClassifier,GridSearchCV,is_IC50_above_median,"{'depth': 5, 'iterations': 100, 'learning_rate': 0.05}",0.7164179104477612,0.6936936936936937,0.77,0.7298578199052133,0.7832178217821782,PCA Aggregated
MLPClassifier,GridSearchCV,is_IC50_above_median,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.7164179104477612,0.680672268907563,0.81,0.7397260273972602,0.7571782178217822,PCA Aggregated
RandomForestClassifier,Optuna,is_IC50_above_median,"{'n_estimators': 128, 'max_depth': 15, 'min_samples_split': 8}",0.6965174129353234,0.6666666666666666,0.78,0.7188940092165899,0.7804455445544554,PCA Aggregated
XGBClassifier,Optuna,is_IC50_above_median,"{'n_estimators': 192, 'learning_rate': 0.02677792603434852, 'max_depth': 8, 'subsample': 0.7053885626844458}",0.6965174129353234,0.6666666666666666,0.78,0.7188940092165899,0.7756930693069307,PCA Aggregated
CatBoostClassifier,Optuna,is_IC50_above_median,"{'iterations': 177, 'learning_rate': 0.04346007084668783, 'depth': 8, 'l2_leaf_reg': 0.3355835056709216}",0.7213930348258707,0.6833333333333333,0.82,0.7454545454545455,0.7923267326732674,PCA Aggregated
MLPClassifier,Optuna,is_IC50_above_median,"{'hidden_layer_sizes': (50,), 'alpha': 0.0021637654380683886, 'learning_rate_init': 0.00018361962273530524}",0.7164179104477612,0.6776859504132231,0.82,0.7420814479638009,0.7743069306930693,PCA Aggregated
LogisticRegression,RandomizedSearchCV,is_IC50_above_median,"{'C': np.float64(0.10778765841014329), 'penalty': 'l2', 'solver': 'liblinear'}",0.6965174129353234,0.6756756756756757,0.75,0.7109004739336493,0.7544059405940594,Manual Aggregated
RandomForestClassifier,RandomizedSearchCV,is_IC50_above_median,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 70}",0.7164179104477612,0.6936936936936937,0.77,0.7298578199052133,0.7718316831683169,Manual Aggregated
XGBClassifier,RandomizedSearchCV,is_IC50_above_median,"{'learning_rate': np.float64(0.06923222772633546), 'max_depth': 5, 'n_estimators': 130, 'subsample': np.float64(0.9134025858245949), 'use_label_encoder': False}",0.6716417910447762,0.6545454545454545,0.72,0.6857142857142857,0.7719306930693068,Manual Aggregated
CatBoostClassifier,RandomizedSearchCV,is_IC50_above_median,"{'depth': 5, 'iterations': 130, 'l2_leaf_reg': np.float64(2.8114598712001184), 'learning_rate': np.float64(0.10937834265309729)}",0.6915422885572139,0.6637931034482759,0.77,0.7129629629629629,0.7843069306930693,Manual Aggregated
MLPClassifier,RandomizedSearchCV,is_IC50_above_median,"{'alpha': np.float64(0.004141986740582306), 'hidden_layer_sizes': (50,), 'learning_rate_init': np.float64(0.00017983126110107097)}",0.7512437810945274,0.7403846153846154,0.77,0.7549019607843137,0.7793564356435643,Manual Aggregated
LogisticRegression,GridSearchCV,is_IC50_above_median,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.6716417910447762,0.6491228070175439,0.74,0.6915887850467289,0.7542079207920792,Manual Aggregated
RandomForestClassifier,GridSearchCV,is_IC50_above_median,"{'max_depth': 10, 'n_estimators': 150}",0.7064676616915423,0.6814159292035398,0.77,0.7230046948356808,0.7767821782178218,Manual Aggregated
XGBClassifier,GridSearchCV,is_IC50_above_median,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'use_label_encoder': False}",0.7164179104477612,0.7009345794392523,0.75,0.7246376811594203,0.7801485148514852,Manual Aggregated
CatBoostClassifier,GridSearchCV,is_IC50_above_median,"{'depth': 5, 'iterations': 150, 'learning_rate': 0.05}",0.6965174129353234,0.6756756756756757,0.75,0.7109004739336493,0.7894554455445545,Manual Aggregated
MLPClassifier,GridSearchCV,is_IC50_above_median,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.7114427860696517,0.6909090909090909,0.76,0.7238095238095238,0.7654950495049505,Manual Aggregated
RandomForestClassifier,Optuna,is_IC50_above_median,"{'n_estimators': 163, 'max_depth': 10, 'min_samples_split': 5}",0.7164179104477612,0.6837606837606838,0.8,0.7373271889400922,0.7843069306930693,Manual Aggregated
XGBClassifier,Optuna,is_IC50_above_median,"{'n_estimators': 95, 'learning_rate': 0.01302780710309028, 'max_depth': 7, 'subsample': 0.8320457481218804}",0.7064676616915423,0.6814159292035398,0.77,0.7230046948356808,0.7686633663366337,Manual Aggregated
CatBoostClassifier,Optuna,is_IC50_above_median,"{'iterations': 180, 'learning_rate': 0.06095132358974338, 'depth': 7, 'l2_leaf_reg': 9.728583151931055}",0.7114427860696517,0.6842105263157895,0.78,0.7289719626168224,0.7803465346534654,Manual Aggregated
MLPClassifier,Optuna,is_IC50_above_median,"{'hidden_layer_sizes': (50, 50), 'alpha': 0.006584106160121612, 'learning_rate_init': 0.006161049539380964}",0.6865671641791045,0.6554621848739496,0.78,0.7123287671232876,0.7360891089108911,Manual Aggregated
LogisticRegression,RandomizedSearchCV,is_CC50_above_median,"{'C': np.float64(0.10778765841014329), 'penalty': 'l2', 'solver': 'liblinear'}",0.7164179104477612,0.6869565217391305,0.79,0.7348837209302326,0.8155445544554456,PCA Aggregated
RandomForestClassifier,RandomizedSearchCV,is_CC50_above_median,"{'max_depth': 5, 'min_samples_split': 6, 'n_estimators': 152}",0.7263681592039801,0.68,0.85,0.7555555555555555,0.8262376237623763,PCA Aggregated
XGBClassifier,RandomizedSearchCV,is_CC50_above_median,"{'learning_rate': np.float64(0.03479004085945037), 'max_depth': 3, 'n_estimators': 120, 'subsample': np.float64(0.8270204442119109), 'use_label_encoder': False}",0.681592039800995,0.6578947368421053,0.75,0.7009345794392523,0.813069306930693,PCA Aggregated
CatBoostClassifier,RandomizedSearchCV,is_CC50_above_median,"{'depth': 6, 'iterations': 63, 'l2_leaf_reg': np.float64(6.090903970994946), 'learning_rate': np.float64(0.058981115320875306)}",0.6915422885572139,0.6666666666666666,0.76,0.7102803738317757,0.8203960396039605,PCA Aggregated
MLPClassifier,RandomizedSearchCV,is_CC50_above_median,"{'alpha': np.float64(0.0031592644736118973), 'hidden_layer_sizes': (100,), 'learning_rate_init': np.float64(0.0003333283160680771)}",0.736318407960199,0.7079646017699115,0.8,0.7511737089201878,0.8428712871287128,PCA Aggregated
LogisticRegression,GridSearchCV,is_CC50_above_median,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.6965174129353234,0.6638655462184874,0.79,0.7214611872146118,0.7871782178217822,PCA Aggregated
RandomForestClassifier,GridSearchCV,is_CC50_above_median,"{'max_depth': 5, 'n_estimators': 150}",0.7412935323383084,0.6935483870967742,0.86,0.7678571428571429,0.8314851485148514,PCA Aggregated
